User Input,Result,Date
1 + 5 =,6,4/1/2026
9 - 2 =,7,4/1/2026
9 + 10 =,19,4/6/2026
9.0 ^ 10.0 =,3486784401.0,4/6/2026
9 * 10 =,90,4/6/2026
9 ÷ 10 =,0.9,4/6/2026
9 ÷ 10 =,0.9,4/6/2026
√10.0 =,3.1622776601683795,4/6/2026
6!,720,04/06/2026
6!,720,04/06/2026
6! =,720,4/6/2026
314 ÷ 411 ÷ 411 =,0.0018588570988805418,4/6/2026
6! =,720,4/6/2026
50.0% =,0.5,4/6/2026
50.0% of 200.0 =,100.0,4/6/2026
5! =,120,4/6/2026
1.0 ^ 9.0 =,1.0,4/6/2026
8.0 ^ 7.0 =,2097152.0,4/6/2026
9 =,9,4/6/2026
9 =,9,4/6/2026
9 + 5 =,14,4/6/2026
9 =,9,4/6/2026
10 ÷ 2 =,5.0,4/6/2026
5 + 3 =,8,4/6/2026
6 * 7 =,42,4/6/2026
6 * 10 =,60,4/6/2026
9! =,362880,4/6/2026
10 * 2 =,20,4/6/2026
9 + 8 =,17,4/6/2026
10 * 2 =,20,4/6/2026
20 ÷ 2 =,10.0,4/6/2026
9 + 5 =,14,4/6/2026
3 * 10 =,30,4/6/2026
√10.0 =,3.1622776601683795,4/6/2026
2 + 7 =,9,4/6/2026
2 + 7 + 7 =,16,4/6/2026
2 + 7 + 7 =,16,4/6/2026
9 + 7 + 2 =,18,4/6/2026
9 + 2 + 2 =,13,4/6/2026
5 + 2 + 10 =,17,4/6/2026
5 + 2 * 10 =,25,4/6/2026
what is 7 + 9 - 6? =,10,4/6/2026
